"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp","polintr","psppsgva","actrolga","psppipla","cptppola","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","trstsci","vote","contplt","donprty","badge","sgnptit","pbldmna","bctprd","pstplonl","volunfp","clsprty","prtdgcl","lrscale","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","gincdif","freehms","hmsfmlsh","hmsacld","euftf","lrnobed","loylead","imsmetn","imdfetn","impcntr","imbgeco","imueclt","imwbcnt","happy","sclmeet","inprdsc","sclact","crmvct","aesfdrk","health","hlthhmp","atchctr","atcherp","rlgblg","rlgdnm","rlgblge","rlgdnme","rlgdgr","rlgatnd","pray","dscrgrp","dscrrce","dscrntn","dscrrlg","dscrlng","dscretn","dscrage","dscrgnd","dscrsex","dscrdsb","dscrdk","ctzcntr","brncntr","livecnta","feethngr","facntr","mocntr","ccnthum","ccrdprs","wrclmch","vteurmmb","vteubcmb","implvdm","gndr","rshpsts","lvgptnea","dvrcdeva","marsts","maritalb","chldhhe","domicil","edulvlb","eisced","eduyrs","pdwrk","edctn","uempla","uempli","dsbld","rtrd","cmsrv","hswrk","dngoth","dngref","dngdk","dngna","mainact","mnactic","crpdwk","pdjobev","pdjobyr","emplrel","emplno","wrkctra","jbspv","njbspv","wkdcorga","iorgact","wrkac6m","uemp3m","uemp12m","uemp5yr","mbtru","hincsrca","hinctnta","hincfel","eiscedp","pdwrkp","edctnp","uemplap","uemplip","dsbldp","rtrdp","cmsrvp","hswrkp","dngothp","dngdkp","dngnapp","dngrefp","dngnap","mnactp","crpdwkp","emprelp","eiscedf","emprf14","eiscedm","emprm14","atncrse","stfmjob","trdawrk","jbprtfp","pfmfdjba","dcsfwrka"
"ESS10e03_2",10,"3.2","02.11.2023",50013,"NO",0.9965307,0.348075,0.31678087,0.1102635,0.0008713102,2240,19575,60,5,150,7,8,6,2,2,2,3,2,8,9,7,6,7,7,8,7,1,1,2,2,2,2,2,2,2,2,6,6,9,7,7,8,7,7,2,2,5,3,4,2,3,2,2,2,5,7,5,9,6,2,3,2,1,2,3,5,3,1,2,6,66,4,6,6,2,0,0,0,0,0,0,0,0,0,0,1,1,6666,1,1,1,3,6,3,,2,10,1,1,1,2,66,1,1,5,321,3,10,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,3,1,3,8,7,2,2,6,6,2,1,6,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,1,2,1,2,1,2,8,3,3,2,2
"ESS10e03_2",10,"3.2","02.11.2023",50014,"NO",1.0045779,0.5267853,0.31678087,0.16687551,0.00086433056,2256,19168,60,5,480,9,8,7,2,4,4,4,3,9,10,9,7,7,7,6,8,1,2,1,2,1,2,1,1,2,1,2,2,8,9,6,9,7,8,2,1,5,1,6,4,3,1,1,1,7,8,6,7,5,4,3,2,2,2,2,8,6,2,66,1,2,3,6,6,2,0,0,0,0,0,0,0,0,0,0,1,1,6666,1,1,1,4,7,3,,2,10,2,1,1,2,66,1,1,2,421,5,15,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,2,66666,8,7,2,1,2,2,1,1,8,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,1,2,1,6,4,1,7,2,2,2,2
"ESS10e03_2",10,"3.2","02.11.2023",50019,"NO",1.0006591,0.33104685,0.31678087,0.104869306,0.0008677155,2259,19682,60,5,300,8,8,8,3,1,1,4,1,5,10,10,5,5,0,7,4,1,2,2,2,1,2,2,2,1,2,6,4,8,8,7,8,9,7,3,1,5,2,5,4,4,2,2,2,8,8,8,9,5,4,3,2,1,2,3,9,4,1,2,6,66,6,5,6,2,0,0,0,0,0,0,0,0,0,0,1,1,6666,1,1,1,4,6,3,,1,10,2,1,1,2,66,1,6,5,710,7,19,1,0,0,0,0,0,0,1,0,0,0,0,1,1,6,6,6666,1,66666,1,2,66666,1,3,2,2,6,6,1,1,5,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,1,6,1,7,1,1,8,3,2,4,1
"ESS10e03_2",10,"3.2","02.11.2023",50038,"NO",0.9880718,0.8392094,0.31678087,0.26584548,0.0008787695,2239,19729,30,5,300,3,5,2,3,2,3,2,3,5,5,3,3,5,88,3,7,3,2,2,1,1,2,2,1,2,2,6,3,5,2,3,5,2,5,4,1,5,2,3,1,4,2,2,2,5,5,9,3,7,1,2,2,1,3,3,1,1,2,66,2,66,0,7,7,2,0,0,0,0,0,0,0,0,0,0,1,1,6666,1,1,1,4,2,4,,1,8,1,66,1,2,6,6,2,4,213,2,12,1,1,0,0,0,0,0,0,0,0,0,0,1,1,6,6,6666,1,66666,2,1,1,10,7,2,2,6,6,2,1,9,1,66,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,6,7,1,6,1,2,6,4,4,4,1
"ESS10e03_2",10,"3.2","02.11.2023",50073,"NO",0.9880718,0.30092275,0.31678087,0.09532657,0.0008787695,2239,19040,90,5,660,3,5,3,2,3,3,3,3,6,4,5,4,4,6,7,6,1,2,2,1,1,2,2,2,1,1,2,8,5,7,7,7,7,6,3,1,5,1,5,2,3,2,2,2,5,5,6,5,7,4,2,2,2,1,3,4,5,1,2,6,66,7,5,1,2,0,0,0,0,0,0,0,0,0,0,1,1,6666,1,1,1,4,4,3,,2,8,1,66,1,2,6,6,2,1,313,4,13,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,1,2,8,6,2,2,6,6,3,1,4,2,66,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,6,5,1,7,1,1,9,2,2,2,3
"ESS10e03_2",10,"3.2","02.11.2023",50074,"NO",0.9965307,0.348075,0.31678087,0.1102635,0.0008713102,2240,18962,5,5,390,8,7,8,2,2,3,1,3,5,7,5,0,2,4,3,4,1,1,2,2,2,2,2,2,2,1,2,8,9,7,2,3,0,5,5,1,5,3,8,2,4,2,2,2,9,2,4,9,7,4,3,2,1,2,3,9,9,1,2,6,66,2,6,6,2,0,0,0,0,0,0,0,0,0,0,1,1,6666,1,1,1,4,1,3,,1,10,1,66,2,1,4,4,1,3,313,4,12,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,1,4,9,10,2,2,6,6,2,1,4,1,66,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,6,7,1,1,1,2,10,3,2,2,3
"ESS10e03_2",10,"3.2","02.11.2023",50079,"NO",1.0065701,0.31509447,0.31678087,0.0998159,0.0008626199,2272,19833,60,4,90,8,9,6,3,4,3,4,2,7,10,9,7,6,8,7,5,1,2,2,2,2,2,2,2,1,1,2,7,9,8,7,9,8,10,2,1,5,1,88,2,2,2,2,2,8,10,7,9,5,4,3,2,1,1,3,10,7,1,2,6,66,3,6,6,2,0,0,0,0,0,0,0,0,0,0,1,1,6666,1,1,1,4,5,3,,2,10,1,1,2,2,66,1,6,3,620,6,99,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,2,66666,0,2,2,2,6,6,1,1,10,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,1,5,2,5,1,1,9,2,3,2,1
"ESS10e03_2",10,"3.2","02.11.2023",50095,"NO",0.995292,3.0190892,0.31678087,0.95638967,0.0008723946,2257,18866,60,5,420,9,8,9,3,3,3,4,2,7,9,9,4,5,5,6,9,1,2,2,2,2,2,2,2,1,1,2,7,10,7,5,7,8,9,4,1,5,2,5,2,2,2,2,2,7,7,5,10,5,2,3,2,1,1,3,10,6,1,2,6,66,0,7,7,2,0,0,0,0,0,0,0,0,0,0,1,1,6666,1,1,1,3,4,2,,2,10,2,3,6,2,6,6,6,4,710,7,20,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,2,66666,8,8,2,2,6,6,1,1,10,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,3,2,2,2,1,2,10,2,3,1,2
"ESS10e03_2",10,"3.2","02.11.2023",50114,"NO",1.0065701,0.4020291,0.31678087,0.12735513,0.0008626199,2272,19781,15,5,360,5,7,5,4,1,2,2,2,3,7,9,3,2,4,5,10,1,2,2,1,2,2,1,1,2,1,3,99,8,7,3,4,2,9,1,1,5,1,88,3,3,2,2,2,7,7,5,8,6,3,3,2,2,2,3,10,10,2,66,2,66,0,7,7,2,0,0,0,0,0,0,0,0,0,0,1,1,6666,1,1,1,3,6,4,,2,10,1,3,6,2,6,6,6,2,321,3,15,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,2,66666,4,7,2,2,6,6,1,1,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,1,3,1,4,1,2,5,2,3,1,1
"ESS10e03_2",10,"3.2","02.11.2023",50145,"NO",0.9884187,0.37255287,0.31678087,0.11801762,0.00087846105,2249,19766,540,5,600,7,2,7,2,4,3,3,4,8,8,7,7,7,6,8,8,1,1,2,2,2,2,2,2,2,2,6,3,9,8,6,8,8,7,2,1,5,1,5,4,4,1,1,1,8,8,8,9,6,4,3,2,1,1,3,5,5,2,66,2,66,0,7,7,2,0,0,0,0,0,0,0,0,0,0,1,1,6666,1,1,1,4,9,4,,2,10,2,3,6,2,6,6,2,3,610,6,17,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,1,8,9,7,2,2,6,6,1,1,8,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,6,1,5,1,1,9,2,2,2,2
